Date,Sales
05/08/2013,764
06/08/2013,740
07/08/2013,839
08/08/2013,797
09/08/2013,1044
10/08/2013,1428
11/08/2013,805
12/08/2013,786
13/08/2013,742
14/08/2013,809
15/08/2013,822
16/08/2013,966
17/08/2013,1127
18/08/2013,763
19/08/2013,719
20/08/2013,771
21/08/2013,821
22/08/2013,754
23/08/2013,893
24/08/2013,1037
25/08/2013,749
26/08/2013,671
27/08/2013,671
28/08/2013,709
29/08/2013,685
30/08/2013,800
31/08/2013,1091
01/09/2013,681
02/09/2013,676
03/09/2013,688
04/09/2013,714
05/09/2013,648
06/09/2013,741
07/09/2013,1011
08/09/2013,647
09/09/2013,620
10/09/2013,566
11/09/2013,716
12/09/2013,564
13/09/2013,781
14/09/2013,1011
15/09/2013,608
16/09/2013,611
17/09/2013,597
18/09/2013,676
19/09/2013,575
20/09/2013,745
21/09/2013,948
22/09/2013,615
23/09/2013,636
24/09/2013,576
25/09/2013,691
26/09/2013,565
27/09/2013,763
28/09/2013,1091
29/09/2013,684
30/09/2013,633
01/10/2013,681
02/10/2013,755
03/10/2013,697
04/10/2013,1007
05/10/2013,1246
06/10/2013,847
07/10/2013,763
08/10/2013,762
09/10/2013,903
10/10/2013,1152
11/10/2013,2188
12/10/2013,1909
13/10/2013,788
14/10/2013,647
15/10/2013,609
16/10/2013,749
17/10/2013,620
18/10/2013,865
19/10/2013,971
20/10/2013,679
21/10/2013,584
22/10/2013,585
23/10/2013,693
24/10/2013,593
25/10/2013,790
26/10/2013,1000
27/10/2013,673
28/10/2013,627
29/10/2013,570
30/10/2013,693
31/10/2013,698
01/11/2013,968
02/11/2013,1351
03/11/2013,710
04/11/2013,618
05/11/2013,617
06/11/2013,685
07/11/2013,627
08/11/2013,798
09/11/2013,1002
10/11/2013,596
11/11/2013,613
12/11/2013,551
13/11/2013,684
14/11/2013,592
15/11/2013,781
16/11/2013,966
17/11/2013,633
18/11/2013,617
19/11/2013,595
20/11/2013,657
21/11/2013,617
22/11/2013,759
23/11/2013,1017
24/11/2013,649
25/11/2013,610
26/11/2013,564
27/11/2013,690
28/11/2013,583
29/11/2013,821
30/11/2013,1066
01/12/2013,688
02/12/2013,693
03/12/2013,620
04/12/2013,699
05/12/2013,672
06/12/2013,840
07/12/2013,997
08/12/2013,635
09/12/2013,669
10/12/2013,612
11/12/2013,756
12/12/2013,623
13/12/2013,826
14/12/2013,1014
15/12/2013,798
16/12/2013,830
17/12/2013,787
18/12/2013,982
19/12/2013,914
20/12/2013,1004
21/12/2013,1276
22/12/2013,1038
23/12/2013,3320
24/12/2013,4500
26/12/2013,1533
27/12/2013,1949
28/12/2013,2640
29/12/2013,2576
30/12/2013,3128
31/12/2013,3176
01/01/2014,840
02/01/2014,1315
03/01/2014,1433
04/01/2014,1613
05/01/2014,878
06/01/2014,809
07/01/2014,702
08/01/2014,763
09/01/2014,737
10/01/2014,983
11/01/2014,1662
12/01/2014,890
13/01/2014,652
14/01/2014,665
15/01/2014,759
16/01/2014,737
17/01/2014,986
18/01/2014,1458
19/01/2014,824
20/01/2014,677
21/01/2014,680
22/01/2014,764
23/01/2014,684
24/01/2014,1011
25/01/2014,1675
26/01/2014,831
27/01/2014,731
28/01/2014,607
29/01/2014,773
30/01/2014,692
31/01/2014,1129
01/02/2014,1764
02/02/2014,881
03/02/2014,809
04/02/2014,748
05/02/2014,857
06/02/2014,802
07/02/2014,1158
08/02/2014,1772
09/02/2014,953
10/02/2014,815
11/02/2014,687
12/02/2014,782
13/02/2014,891
14/02/2014,1279
15/02/2014,1604
16/02/2014,866
17/02/2014,759
18/02/2014,670
19/02/2014,745
20/02/2014,736
21/02/2014,889
22/02/2014,934
23/02/2014,590
24/02/2014,684
25/02/2014,705
26/02/2014,854
27/02/2014,940
28/02/2014,1569
01/03/2014,2994
02/03/2014,3097
03/03/2014,2735
04/03/2014,1256
05/03/2014,1079
06/03/2014,952
07/03/2014,1274
08/03/2014,1574
09/03/2014,889
10/03/2014,864
11/03/2014,807
12/03/2014,955
13/03/2014,765
14/03/2014,1162
15/03/2014,1723
16/03/2014,964
17/03/2014,870
18/03/2014,825
19/03/2014,949
20/03/2014,942
21/03/2014,1325
22/03/2014,1877
23/03/2014,979
25/03/2014,783
26/03/2014,956
27/03/2014,876
28/03/2014,1240
29/03/2014,1800
30/03/2014,910
31/03/2014,898
01/04/2014,819
02/04/2014,911
03/04/2014,912
04/04/2014,1254
05/04/2014,1796
06/04/2014,941
07/04/2014,847
08/04/2014,826
09/04/2014,922
10/04/2014,927
11/04/2014,1262
12/04/2014,1962
13/04/2014,998
14/04/2014,906
15/04/2014,877
16/04/2014,1117
17/04/2014,1498
18/04/2014,2431
19/04/2014,2360
20/04/2014,1046
21/04/2014,766
22/04/2014,701
23/04/2014,838
24/04/2014,693
25/04/2014,957
26/04/2014,1377
27/04/2014,771
28/04/2014,678
29/04/2014,610
30/04/2014,814
01/05/2014,944
02/05/2014,1091
03/05/2014,1372
04/05/2014,754
05/05/2014,617
06/05/2014,625
07/05/2014,733
08/05/2014,598
09/05/2014,831
10/05/2014,1007
11/05/2014,687
12/05/2014,576
13/05/2014,601
14/05/2014,718
15/05/2014,583
16/05/2014,792
17/05/2014,1108
18/05/2014,707
19/05/2014,651
20/05/2014,604
21/05/2014,760
22/05/2014,648
23/05/2014,828
24/05/2014,1089
25/05/2014,651
26/05/2014,610
27/05/2014,613
28/05/2014,694
29/05/2014,603
30/05/2014,856
31/05/2014,1106
01/06/2014,708
02/06/2014,687
03/06/2014,680
04/06/2014,749
05/06/2014,632
06/06/2014,823
07/06/2014,1107
08/06/2014,760
09/06/2014,653
10/06/2014,612
11/06/2014,706
12/06/2014,627
13/06/2014,799
14/06/2014,952
15/06/2014,632
16/06/2014,659
17/06/2014,568
18/06/2014,684
19/06/2014,615
20/06/2014,749
21/06/2014,1089
22/06/2014,701
23/06/2014,674
24/06/2014,577
25/06/2014,739
26/06/2014,589
27/06/2014,869
28/06/2014,974
29/06/2014,715
30/06/2014,603
01/07/2014,640
02/07/2014,789
03/07/2014,686
04/07/2014,820
05/07/2014,1099
06/07/2014,707
07/07/2014,618
08/07/2014,620
09/07/2014,714
10/07/2014,685
11/07/2014,809
12/07/2014,1063
13/07/2014,721
14/07/2014,646
15/07/2014,669
16/07/2014,791
17/07/2014,670
18/07/2014,876
19/07/2014,1068
20/07/2014,710
21/07/2014,687
22/07/2014,649
23/07/2014,724
24/07/2014,767
25/07/2014,1723
26/07/2014,1586
27/07/2014,877
28/07/2014,718
29/07/2014,658
30/07/2014,752
31/07/2014,712
01/08/2014,1061
02/08/2014,1294
03/08/2014,847
04/08/2014,807
05/08/2014,696
06/08/2014,863
07/08/2014,838
08/08/2014,1138
09/08/2014,1361
10/08/2014,818
11/08/2014,852
12/08/2014,792
13/08/2014,886
14/08/2014,773
15/08/2014,1041
16/08/2014,1243
17/08/2014,797
18/08/2014,818
19/08/2014,732
20/08/2014,924
21/08/2014,816
22/08/2014,1128
23/08/2014,1394
24/08/2014,840
25/08/2014,703
26/08/2014,692
27/08/2014,792
28/08/2014,681
29/08/2014,881
30/08/2014,1078
31/08/2014,670
01/09/2014,748
02/09/2014,707
03/09/2014,750
04/09/2014,691
05/09/2014,883
06/09/2014,1005
07/09/2014,734
08/09/2014,627
09/09/2014,625
10/09/2014,748
11/09/2014,632
12/09/2014,844
13/09/2014,1089
14/09/2014,692
15/09/2014,699
16/09/2014,631
17/09/2014,716
18/09/2014,592
19/09/2014,823
20/09/2014,975
21/09/2014,663
22/09/2014,623
23/09/2014,551
24/09/2014,639
25/09/2014,600
26/09/2014,776
27/09/2014,1016
28/09/2014,752
29/09/2014,692
30/09/2014,703
01/10/2014,820
02/10/2014,778
03/10/2014,1089
04/10/2014,1342
05/10/2014,870
06/10/2014,849
07/10/2014,794
08/10/2014,904
09/10/2014,1176
10/10/2014,2115
11/10/2014,1977
12/10/2014,865
13/10/2014,697
14/10/2014,606
15/10/2014,769
16/10/2014,679
17/10/2014,816
18/10/2014,928
19/10/2014,646
20/10/2014,583
21/10/2014,558
22/10/2014,704
23/10/2014,595
24/10/2014,832
25/10/2014,954
26/10/2014,674
27/10/2014,645
28/10/2014,603
29/10/2014,666
30/10/2014,730
31/10/2014,1140
01/11/2014,2032
02/11/2014,1583
03/11/2014,844
04/11/2014,582
05/11/2014,747
06/11/2014,624
07/11/2014,792
08/11/2014,972
09/11/2014,687
10/11/2014,651
11/11/2014,652
12/11/2014,704
13/11/2014,603
14/11/2014,837
15/11/2014,1029
16/11/2014,685
17/11/2014,623
18/11/2014,597
19/11/2014,717
20/11/2014,658
21/11/2014,798
22/11/2014,957
23/11/2014,705
24/11/2014,635
25/11/2014,601
26/11/2014,678
27/11/2014,700
28/11/2014,881
29/11/2014,1005
30/11/2014,696
01/12/2014,744
02/12/2014,618
03/12/2014,791
04/12/2014,663
05/12/2014,848
06/12/2014,943
07/12/2014,742
08/12/2014,667
09/12/2014,651
10/12/2014,812
11/12/2014,675
12/12/2014,863
13/12/2014,972
14/12/2014,772
15/12/2014,757
16/12/2014,746
17/12/2014,935
18/12/2014,883
19/12/2014,1067
20/12/2014,1137
21/12/2014,928
22/12/2014,1130
23/12/2014,3900
24/12/2014,4100
26/12/2014,2130
27/12/2014,2142
28/12/2014,1698
29/12/2014,2166
30/12/2014,2710
31/12/2014,3140
01/01/2015,2202
02/01/2015,3114
03/01/2015,2495
04/01/2015,999
05/01/2015,981
06/01/2015,827
07/01/2015,920
08/01/2015,764
09/01/2015,1048
10/01/2015,1311
11/01/2015,872
12/01/2015,759
13/01/2015,695
14/01/2015,832
15/01/2015,747
16/01/2015,1072
17/01/2015,1603
18/01/2015,877
19/01/2015,744
20/01/2015,707
21/01/2015,866
22/01/2015,716
23/01/2015,1006
24/01/2015,1517
25/01/2015,878
26/01/2015,696
27/01/2015,693
28/01/2015,755
29/01/2015,714
30/01/2015,1058
31/01/2015,1685
01/02/2015,946
02/02/2015,793
03/02/2015,725
04/02/2015,888
05/02/2015,713
06/02/2015,1101
07/02/2015,1699
08/02/2015,967
09/02/2015,814
10/02/2015,754
11/02/2015,986
12/02/2015,1017
13/02/2015,1706
14/02/2015,2913
15/02/2015,3046
16/02/2015,2446
17/02/2015,1134
18/02/2015,1002
19/02/2015,957
20/02/2015,1178
21/02/2015,1362
22/02/2015,908
23/02/2015,746
24/02/2015,690
25/02/2015,820
26/02/2015,682
27/02/2015,1048
28/02/2015,1521
01/03/2015,1039
02/03/2015,863
03/03/2015,775
04/03/2015,911
05/03/2015,800
06/03/2015,1238
07/03/2015,1742
08/03/2015,1136
09/03/2015,872
10/03/2015,835
11/03/2015,955
12/03/2015,873
13/03/2015,1273
14/03/2015,1761
15/03/2015,1079
16/03/2015,909
17/03/2015,842
18/03/2015,919
19/03/2015,876
20/03/2015,1254
21/03/2015,1712
22/03/2015,1013
23/03/2015,840
24/03/2015,814
25/03/2015,947
26/03/2015,909
27/03/2015,1322
28/03/2015,1668
29/03/2015,1019
30/03/2015,887
31/03/2015,836
01/04/2015,1152
02/04/2015,1525
03/04/2015,2452
04/04/2015,2299
05/04/2015,1014
06/04/2015,912
07/04/2015,855
08/04/2015,958
09/04/2015,851
10/04/2015,1280
11/04/2015,1710
12/04/2015,934
13/04/2015,818
14/04/2015,711
15/04/2015,894
16/04/2015,822
17/04/2015,1187
18/04/2015,1498
19/04/2015,858
20/04/2015,791
21/04/2015,715
22/04/2015,790
23/04/2015,749
24/04/2015,1140
25/04/2015,1907
26/04/2015,888
27/04/2015,709
28/04/2015,677
29/04/2015,914
30/04/2015,1088
01/05/2015,2156
02/05/2015,1908
03/05/2015,794
04/05/2015,688
05/05/2015,643
06/05/2015,770
07/05/2015,674
08/05/2015,830
09/05/2015,1007
10/05/2015,714
11/05/2015,622
12/05/2015,589
13/05/2015,680
14/05/2015,676
15/05/2015,876
16/05/2015,1050
17/05/2015,764
18/05/2015,639
19/05/2015,648
20/05/2015,712
21/05/2015,641
22/05/2015,860
23/05/2015,1047
24/05/2015,700
25/05/2015,628
26/05/2015,573
27/05/2015,684
28/05/2015,650
29/05/2015,893
30/05/2015,1139
31/05/2015,796
01/06/2015,641
02/06/2015,637
03/06/2015,721
04/06/2015,640
05/06/2015,842
06/06/2015,1035
07/06/2015,756
08/06/2015,658
09/06/2015,617
10/06/2015,707
11/06/2015,675
12/06/2015,854
13/06/2015,1067
14/06/2015,722
15/06/2015,621
16/06/2015,622
17/06/2015,722
18/06/2015,652
19/06/2015,842
20/06/2015,977
21/06/2015,737
22/06/2015,655
23/06/2015,656
24/06/2015,664
25/06/2015,640
26/06/2015,840
27/06/2015,1104
28/06/2015,718
29/06/2015,590
30/06/2015,651
01/07/2015,811
02/07/2015,685
03/07/2015,860
04/07/2015,1167
05/07/2015,1089
06/07/2015,857
07/07/2015,645
08/07/2015,748
09/07/2015,676
10/07/2015,805
11/07/2015,973
12/07/2015,820
13/07/2015,605
14/07/2015,631
15/07/2015,799
16/07/2015,687
17/07/2015,951
18/07/2015,1106
19/07/2015,814
20/07/2015,674
21/07/2015,715
22/07/2015,727
23/07/2015,699
24/07/2015,959
25/07/2015,1200
26/07/2015,785
27/07/2015,746
28/07/2015,679
29/07/2015,773
30/07/2015,658
31/07/2015,984
01/08/2015,1267
02/08/2015,881
03/08/2015,821
04/08/2015,803
05/08/2015,901
06/08/2015,765
07/08/2015,1228
08/08/2015,2208
09/08/2015,1972
10/08/2015,1159
11/08/2015,909
12/08/2015,901
13/08/2015,833
14/08/2015,691
15/08/2015,1229
16/08/2015,826
17/08/2015,729
18/08/2015,697
19/08/2015,858
20/08/2015,769
21/08/2015,994
22/08/2015,1087
23/08/2015,859
24/08/2015,721
25/08/2015,693
26/08/2015,725
27/08/2015,705
28/08/2015,940
29/08/2015,1071
30/08/2015,718
31/08/2015,646
01/09/2015,679
02/09/2015,802
03/09/2015,663
04/09/2015,836
05/09/2015,1066
06/09/2015,676
07/09/2015,610
08/09/2015,633
09/09/2015,755
10/09/2015,666
11/09/2015,800
12/09/2015,1002
13/09/2015,676
14/09/2015,631
15/09/2015,600
16/09/2015,713
17/09/2015,691
18/09/2015,830
19/09/2015,924
20/09/2015,636
21/09/2015,672
22/09/2015,566
23/09/2015,710
24/09/2015,611
25/09/2015,786
26/09/2015,981
27/09/2015,658
28/09/2015,615
29/09/2015,616
30/09/2015,659
01/10/2015,744
02/10/2015,905
03/10/2015,1061
04/10/2015,832
05/10/2015,800
06/10/2015,760
07/10/2015,935
08/10/2015,1147
09/10/2015,2103
10/10/2015,1866
11/10/2015,874
12/10/2015,665
13/10/2015,615
14/10/2015,715
15/10/2015,662
16/10/2015,871
17/10/2015,922
18/10/2015,646
19/10/2015,616
20/10/2015,608
21/10/2015,711
22/10/2015,629
23/10/2015,813
24/10/2015,883
25/10/2015,666
26/10/2015,607
27/10/2015,598
28/10/2015,730
29/10/2015,671
30/10/2015,1088
31/10/2015,1875
01/11/2015,2245
02/11/2015,1743
03/11/2015,863
04/11/2015,753
05/11/2015,635
06/11/2015,807
07/11/2015,876
08/11/2015,681
09/11/2015,636
10/11/2015,381
11/11/2015,709
12/11/2015,610
13/11/2015,833
14/11/2015,860
15/11/2015,704
16/11/2015,637
17/11/2015,599
18/11/2015,678
19/11/2015,610
20/11/2015,795
21/11/2015,878
22/11/2015,661
23/11/2015,615
24/11/2015,594
25/11/2015,703
26/11/2015,637
27/11/2015,845
28/11/2015,912
29/11/2015,717
30/11/2015,685
01/12/2015,664
02/12/2015,811
03/12/2015,698
04/12/2015,893
05/12/2015,878
06/12/2015,733
07/12/2015,660
08/12/2015,644
09/12/2015,756
10/12/2015,667
11/12/2015,897
12/12/2015,940
13/12/2015,738
14/12/2015,667
15/12/2015,615
16/12/2015,767
17/12/2015,755
18/12/2015,913
19/12/2015,1106
20/12/2015,862
21/12/2015,918
22/12/2015,991
23/12/2015,4300
24/12/2015,4900
26/12/2015,1889
27/12/2015,1384
28/12/2015,1546
29/12/2015,1887
30/12/2015,2489
31/12/2015,3178
02/01/2016,2582
04/01/2016,938
05/01/2016,792
06/01/2016,917
07/01/2016,724
08/01/2016,967
09/01/2016,1298
10/01/2016,895
11/01/2016,724
12/01/2016,645
13/01/2016,734
14/01/2016,616
15/01/2016,1006
16/01/2016,1380
17/01/2016,793
18/01/2016,696
19/01/2016,661
20/01/2016,806
21/01/2016,692
22/01/2016,998
23/01/2016,1315
24/01/2016,780
25/01/2016,687
26/01/2016,671
27/01/2016,736
28/01/2016,684
29/01/2016,1002
30/01/2016,1266
31/01/2016,854
01/02/2016,823
02/02/2016,778
03/02/2016,916
04/02/2016,946
05/02/2016,1663
06/02/2016,2864
07/02/2016,3056
08/02/2016,2409
09/02/2016,1088
10/02/2016,1099
11/02/2016,979
12/02/2016,1285
13/02/2016,1487
14/02/2016,952
15/02/2016,783
16/02/2016,773
17/02/2016,884
18/02/2016,820
19/02/2016,1177
20/02/2016,1506
21/02/2016,979
22/02/2016,812
23/02/2016,700
24/02/2016,827
25/02/2016,768
26/02/2016,1225
27/02/2016,1545
28/02/2016,967
29/02/2016,760
01/03/2016,836
02/03/2016,906
03/03/2016,805
04/03/2016,1309
05/03/2016,1581
06/03/2016,890
07/03/2016,846
08/03/2016,871
09/03/2016,916
10/03/2016,793
11/03/2016,1218
12/03/2016,1541
13/03/2016,943
14/03/2016,848
15/03/2016,747
16/03/2016,972
17/03/2016,873
18/03/2016,1231
19/03/2016,1662
20/03/2016,1049
21/03/2016,944
22/03/2016,924
23/03/2016,1227
24/03/2016,1599
25/03/2016,2383
26/03/2016,2249
27/03/2016,1061
28/03/2016,856
29/03/2016,724
30/03/2016,867
31/03/2016,822
01/04/2016,1237
02/04/2016,1439
03/04/2016,921
04/04/2016,753
05/04/2016,727
06/04/2016,863
07/04/2016,782
08/04/2016,1184
09/04/2016,1729
10/04/2016,941
11/04/2016,772
12/04/2016,740
13/04/2016,856
14/04/2016,784
15/04/2016,1122
16/04/2016,1328
17/04/2016,821
18/04/2016,736
19/04/2016,659
20/04/2016,773
21/04/2016,717
22/04/2016,843
23/04/2016,886
24/04/2016,622
25/04/2016,650
26/04/2016,600
27/04/2016,729
28/04/2016,665
29/04/2016,892
30/04/2016,1084
01/05/2016,738
02/05/2016,627
03/05/2016,630
04/05/2016,759
05/05/2016,653
06/05/2016,831
07/05/2016,941
08/05/2016,760
09/05/2016,649
10/05/2016,602
11/05/2016,701
12/05/2016,657
13/05/2016,814
14/05/2016,1027
15/05/2016,679
16/05/2016,637
17/05/2016,614
18/05/2016,728
19/05/2016,614
20/05/2016,864
21/05/2016,975
22/05/2016,676
23/05/2016,614
24/05/2016,539
25/05/2016,665
26/05/2016,816
27/05/2016,1976
28/05/2016,1620
29/05/2016,823
30/05/2016,614
31/05/2016,701
01/06/2016,709
02/06/2016,601
03/06/2016,863
04/06/2016,962
05/06/2016,673
06/06/2016,610
07/06/2016,596
08/06/2016,671
09/06/2016,577
10/06/2016,816
11/06/2016,904
12/06/2016,700
13/06/2016,648
14/06/2016,591
15/06/2016,744
16/06/2016,671
17/06/2016,744
18/06/2016,892
19/06/2016,685
20/06/2016,597
21/06/2016,594
22/06/2016,704
23/06/2016,619
24/06/2016,775
25/06/2016,1021
26/06/2016,732
27/06/2016,608
28/06/2016,582
29/06/2016,683
30/06/2016,610
01/07/2016,896
02/07/2016,1080
03/07/2016,699
04/07/2016,661
05/07/2016,610
06/07/2016,742
07/07/2016,635
08/07/2016,811
09/07/2016,1020
10/07/2016,744
11/07/2016,607
12/07/2016,613
13/07/2016,718
14/07/2016,649
15/07/2016,901
16/07/2016,1062
17/07/2016,736
18/07/2016,722
19/07/2016,657
20/07/2016,790
21/07/2016,677
22/07/2016,964
23/07/2016,1548
24/07/2016,1381
25/07/2016,864
26/07/2016,697
27/07/2016,780
28/07/2016,662
29/07/2016,920
30/07/2016,1041
31/07/2016,796
01/08/2016,744
02/08/2016,760
03/08/2016,817
04/08/2016,739
05/08/2016,933
06/08/2016,1021
07/08/2016,779
08/08/2016,792
09/08/2016,764
10/08/2016,897
11/08/2016,974
12/08/2016,2068
13/08/2016,1929
14/08/2016,1006
15/08/2016,840
16/08/2016,817
17/08/2016,779
18/08/2016,777
19/08/2016,999
20/08/2016,980
21/08/2016,809
27/10/2016,1481
28/10/2016,1248
29/10/2016,1304
30/10/2016,1171
31/10/2016,1004
01/11/2016,1106
02/11/2016,2408
03/11/2016,2738
04/11/2016,2575
05/11/2016,1965
06/11/2016,837
07/11/2016,806
08/11/2016,751
09/11/2016,815
10/11/2016,715
11/11/2016,766
12/11/2016,985
13/11/2016,835
14/11/2016,720
15/11/2016,663
16/11/2016,837
17/11/2016,643
18/11/2016,956
19/11/2016,1041
20/11/2016,841
21/11/2016,689
22/11/2016,660
23/11/2016,761
24/11/2016,644
25/11/2016,848
26/11/2016,967
27/11/2016,736
28/11/2016,617
29/11/2016,577
30/11/2016,740
01/12/2016,708
02/12/2016,917
03/12/2016,994
04/12/2016,790
05/12/2016,710
06/12/2016,606
07/12/2016,745
08/12/2016,629
09/12/2016,842
10/12/2016,1005
11/12/2016,829
12/12/2016,737
13/12/2016,682
14/12/2016,759
15/12/2016,819
16/12/2016,881
17/12/2016,1101
18/12/2016,940
19/12/2016,860
20/12/2016,951
21/12/2016,1007
22/12/2016,956
23/12/2016,4500
24/12/2016,5100
26/12/2016,1558
27/12/2016,1346
28/12/2016,1893
29/12/2016,1948
30/12/2016,2870
31/12/2016,3401
01/01/2017,1642
02/01/2017,1519
03/01/2017,1006
04/01/2017,1036
05/01/2017,855
06/01/2017,1045
07/01/2017,1331
08/01/2017,917
09/01/2017,741
10/01/2017,702
11/01/2017,851
12/01/2017,770
13/01/2017,1111
14/01/2017,1561
15/01/2017,1005
16/01/2017,819
17/01/2017,721
18/01/2017,831
19/01/2017,752
20/01/2017,1075
21/01/2017,1530
22/01/2017,953
23/01/2017,765
24/01/2017,700
25/01/2017,885
26/01/2017,688
27/01/2017,1122
28/01/2017,1669
29/01/2017,977
30/01/2017,699
31/01/2017,788
01/02/2017,917
02/02/2017,808
03/02/2017,1177
04/02/2017,1684
05/02/2017,1164
06/02/2017,796
07/02/2017,830
08/02/2017,836
09/02/2017,816
10/02/2017,1254
11/02/2017,1653
12/02/2017,1068
13/02/2017,857
14/02/2017,999
15/02/2017,845
16/02/2017,823
17/02/2017,896
18/02/2017,973
19/02/2017,667
20/02/2017,761
21/02/2017,752
22/02/2017,953
23/02/2017,944
24/02/2017,1574
25/02/2017,3053
26/02/2017,3254
27/02/2017,2742
28/02/2017,1366
01/03/2017,1153
02/03/2017,941
03/03/2017,1253
04/03/2017,1473
05/03/2017,966
06/03/2017,799
07/03/2017,766
08/03/2017,1030
09/03/2017,896
10/03/2017,1250
11/03/2017,1663
12/03/2017,1072
13/03/2017,890
14/03/2017,853
15/03/2017,915
16/03/2017,866
17/03/2017,1383
18/03/2017,1887
19/03/2017,1206
20/03/2017,958
21/03/2017,887
22/03/2017,1027
23/03/2017,955
24/03/2017,1257
25/03/2017,1780
26/03/2017,1139
27/03/2017,920
28/03/2017,836
29/03/2017,999
30/03/2017,829
31/03/2017,1055
01/04/2017,942
02/04/2017,708
03/04/2017,756
04/04/2017,845
05/04/2017,978
06/04/2017,907
07/04/2017,1309
08/04/2017,1860
09/04/2017,1068
10/04/2017,951
11/04/2017,904
12/04/2017,1156
13/04/2017,1539
14/04/2017,2529
15/04/2017,2231
16/04/2017,1053
17/04/2017,820
18/04/2017,746
19/04/2017,886
20/04/2017,817
21/04/2017,1103
22/04/2017,1278
23/04/2017,911
24/04/2017,761
25/04/2017,683
26/04/2017,868
27/04/2017,744
28/04/2017,1150
29/04/2017,1949
30/04/2017,1768
01/05/2017,1102
02/05/2017,729
03/05/2017,832
04/05/2017,680
